2017-07-18 20.57.05	||	 - Production - 	Info	||	Received from Client: {"eventType":"aliveCheck","value":{"gameId":"xida","player":{"id":1,"name":"32"}}}
2017-07-18 20.57.05	||	 - Production - 	Info	||	Sending: {"eventType":"aliveCheckConfirmed","value":true}
2017-07-18 20.57.07	||	 - Production - 	Info	||	Received from Client: {"eventType":"aliveCheck","value":{"gameId":"xida","player":{"id":1,"name":"32"}}}
2017-07-18 20.57.07	||	 - Production - 	Info	||	Sending: {"eventType":"aliveCheckConfirmed","value":true}
2017-07-18 20.57.07	||	 - Production - 	Info	||	Received from Host: {'eventType': 'pickCard', 'value': 'xida'}
2017-07-18 20.57.07	||	 - Production - 	Info	||	Sending: {"eventType":"pickedCard","value":{"cardType":"SPADES","cardValue":"FIVE"}}
2017-07-18 20.57.08	||	 - Production - 	Info	||	Received from Host: {'eventType': 'camelWon', 'value': 'xida'}
2017-07-18 20.57.08	||	 - Production - 	Info	||	Sending: {"eventType":"camelDidNotWin","value":""}
2017-07-18 20.57.08	||	 - Production - 	Info	||	Received from Host: {'eventType': 'moveCardsByLatest', 'value': 'xida'}
2017-07-18 20.57.09	||	 - Production - 	Info	||	Received from Client: {"eventType":"aliveCheck","value":{"gameId":"xida","player":{"id":1,"name":"32"}}}
2017-07-18 20.57.08	||	 - Production - 	Info	||	Sending: {"eventType":"newCamelPositions","value":[{"row":0,"position":0,"cardType":"CLUBS","cardValue":"ACE"},{"row":1,"position":0,"cardType":"DIAMONDS","cardValue":"ACE"},{"row":2,"position":0,"cardType":"HEARTS","cardValue":"ACE"},{"row":3,"position":1,"cardType":"SPADES","cardValue":"ACE"}]}
2017-07-18 20.57.09	||	 - Production - 	Info	||	Sending: {"eventType":"aliveCheckConfirmed","value":true}
2017-07-18 20.57.10	||	 - Production - 	Info	||	Received from Host: {'eventType': 'shouldSideCardTurn', 'value': 'xida'}
2017-07-18 20.57.10	||	 - Production - 	Info	||	Sending: {"eventType":"shouldSideCardTurnNo","value":""}
2017-07-18 20.57.11	||	 - Production - 	Info	||	Received from Client: {"eventType":"aliveCheck","value":{"gameId":"xida","player":{"id":1,"name":"32"}}}
2017-07-18 20.57.11	||	 - Production - 	Info	||	Sending: {"eventType":"aliveCheckConfirmed","value":true}
2017-07-18 20.57.11	||	 - Production - 	Info	||	Received from Host: {'eventType': 'pickCard', 'value': 'xida'}
2017-07-18 20.57.11	||	 - Production - 	Info	||	Sending: {"eventType":"pickedCard","value":{"cardType":"HEARTS","cardValue":"SIX"}}
2017-07-18 20.57.11	||	 - Production - 	Info	||	Received from Host: {'eventType': 'camelWon', 'value': 'xida'}
2017-07-18 20.57.11	||	 - Production - 	Info	||	Sending: {"eventType":"camelDidNotWin","value":""}
2017-07-18 20.57.12	||	 - Production - 	Info	||	Received from Host: {'eventType': 'moveCardsByLatest', 'value': 'xida'}
2017-07-18 20.57.12	||	 - Production - 	Info	||	Sending: {"eventType":"newCamelPositions","value":[{"row":0,"position":0,"cardType":"CLUBS","cardValue":"ACE"},{"row":1,"position":0,"cardType":"DIAMONDS","cardValue":"ACE"},{"row":2,"position":1,"cardType":"HEARTS","cardValue":"ACE"},{"row":3,"position":1,"cardType":"SPADES","cardValue":"ACE"}]}
2017-07-18 20.57.13	||	 - Production - 	Info	||	Received from Client: {"eventType":"aliveCheck","value":{"gameId":"xida","player":{"id":1,"name":"32"}}}
2017-07-18 20.57.13	||	 - Production - 	Info	||	Sending: {"eventType":"aliveCheckConfirmed","value":true}
2017-07-18 20.57.13	||	 - Production - 	Info	||	Received from Host: {'eventType': 'shouldSideCardTurn', 'value': 'xida'}
2017-07-18 20.57.13	||	 - Production - 	Info	||	Sending: {"eventType":"shouldSideCardTurnNo","value":""}
2017-07-18 20.57.14	||	 - Production - 	Info	||	Received from Host: {'eventType': 'pickCard', 'value': 'xida'}
2017-07-18 20.57.14	||	 - Production - 	Info	||	Sending: {"eventType":"pickedCard","value":{"cardType":"SPADES","cardValue":"KING"}}
2017-07-18 20.57.15	||	 - Production - 	Info	||	Received from Client: {"eventType":"aliveCheck","value":{"gameId":"xida","player":{"id":1,"name":"32"}}}
2017-07-18 20.57.15	||	 - Production - 	Info	||	Sending: {"eventType":"aliveCheckConfirmed","value":true}
2017-07-18 20.57.15	||	 - Production - 	Info	||	Received from Host: {'eventType': 'camelWon', 'value': 'xida'}
2017-07-18 20.57.15	||	 - Production - 	Info	||	Sending: {"eventType":"camelDidNotWin","value":""}
2017-07-18 20.57.16	||	 - Production - 	Info	||	Received from Host: {'eventType': 'moveCardsByLatest', 'value': 'xida'}
2017-07-18 20.57.16	||	 - Production - 	Info	||	Sending: {"eventType":"newCamelPositions","value":[{"row":0,"position":0,"cardType":"CLUBS","cardValue":"ACE"},{"row":1,"position":0,"cardType":"DIAMONDS","cardValue":"ACE"},{"row":2,"position":1,"cardType":"HEARTS","cardValue":"ACE"},{"row":3,"position":2,"cardType":"SPADES","cardValue":"ACE"}]}
2017-07-18 20.57.17	||	 - Production - 	Info	||	Received from Client: {"eventType":"aliveCheck","value":{"gameId":"xida","player":{"id":1,"name":"32"}}}
2017-07-18 20.57.17	||	 - Production - 	Info	||	Sending: {"eventType":"aliveCheckConfirmed","value":true}
2017-07-18 20.57.17	||	 - Production - 	Info	||	Received from Host: {'eventType': 'shouldSideCardTurn', 'value': 'xida'}
2017-07-18 20.57.17	||	 - Production - 	Info	||	Sending: {"eventType":"shouldSideCardTurnNo","value":""}
2017-07-18 20.57.18	||	 - Production - 	Info	||	Received from Host: {'eventType': 'pickCard', 'value': 'xida'}
2017-07-18 20.57.18	||	 - Production - 	Info	||	Sending: {"eventType":"pickedCard","value":{"cardType":"CLUBS","cardValue":"FIVE"}}
2017-07-18 20.57.19	||	 - Production - 	Info	||	Received from Client: {"eventType":"aliveCheck","value":{"gameId":"xida","player":{"id":1,"name":"32"}}}
2017-07-18 20.57.19	||	 - Production - 	Info	||	Sending: {"eventType":"aliveCheckConfirmed","value":true}
2017-07-18 20.57.19	||	 - Production - 	Info	||	Received from Host: {'eventType': 'camelWon', 'value': 'xida'}
2017-07-18 20.57.19	||	 - Production - 	Info	||	Sending: {"eventType":"camelDidNotWin","value":""}
2017-07-18 20.57.19	||	 - Production - 	Info	||	Received from Host: {'eventType': 'moveCardsByLatest', 'value': 'xida'}
2017-07-18 20.57.19	||	 - Production - 	Info	||	Sending: {"eventType":"newCamelPositions","value":[{"row":0,"position":1,"cardType":"CLUBS","cardValue":"ACE"},{"row":1,"position":0,"cardType":"DIAMONDS","cardValue":"ACE"},{"row":2,"position":1,"cardType":"HEARTS","cardValue":"ACE"},{"row":3,"position":2,"cardType":"SPADES","cardValue":"ACE"}]}
2017-07-18 20.57.21	||	 - Production - 	Info	||	Received from Client: {"eventType":"aliveCheck","value":{"gameId":"xida","player":{"id":1,"name":"32"}}}
2017-07-18 20.57.21	||	 - Production - 	Info	||	Sending: {"eventType":"aliveCheckConfirmed","value":true}
2017-07-18 20.57.21	||	 - Production - 	Info	||	Received from Host: {'eventType': 'shouldSideCardTurn', 'value': 'xida'}
2017-07-18 20.57.21	||	 - Production - 	Info	||	Sending: {"eventType":"shouldSideCardTurnNo","value":""}
2017-07-18 20.57.22	||	 - Production - 	Info	||	Client connection closed.
2017-07-18 20.57.22	||	 - Production - 	Info	||	Host connection closed.
